"","CustomerID","Frequency","LastTransactionDate","AvgAmount","TotalAmount","churn"
"1","12347",7,2011-12-07,365.375714285714,2557.63,"0"
"2","12348",3,2011-04-05,37.0266666666667,111.08,"1"
"3","12349",1,2011-11-21,1039.4,1039.4,"0"
"4","12350",1,2011-02-02,294.4,294.4,"1"
"5","12352",7,2011-11-03,182.541428571429,1277.79,"0"
"6","12353",1,2011-05-19,49.2,49.2,"1"
"7","12354",1,2011-04-21,930.68,930.68,"1"
"8","12355",1,2011-05-09,224.8,224.8,"1"
"9","12356",3,2011-11-17,154.56,463.68,"0"
"10","12357",1,2011-11-06,1019.99,1019.99,"0"
"11","12358",2,2011-12-08,71.33,142.66,"0"
"12","12359",4,2011-10-13,931.1575,3724.63,"1"
"13","12360",3,2011-10-18,560.86,1682.58,"1"
"14","12361",1,2011-02-25,189.9,189.9,"1"
"15","12362",10,2011-12-06,394.569,3945.69,"0"
"16","12363",2,2011-08-22,206.64,413.28,"1"
"17","12364",4,2011-12-02,300.825,1203.3,"0"
"18","12365",1,2011-02-21,320.69,320.69,"1"
"19","12367",1,2011-12-05,168.9,168.9,"0"
"20","12370",4,2011-10-19,449.1125,1796.45,"1"
"21","12371",1,2011-10-11,928.36,928.36,"1"
"22","12372",3,2011-09-29,219.38,658.14,"1"
"23","12373",1,2011-02-01,145.2,145.2,"1"
"24","12374",1,2011-11-14,435.13,435.13,"0"
"25","12375",2,2011-11-29,83.45,166.9,"0"
"26","12377",2,2011-01-28,439.56,879.12,"1"
"27","12378",1,2011-08-02,3181.12,3181.12,"1"
"28","12379",2,2011-09-19,309.72,619.44,"1"
"29","12380",4,2011-11-18,375.7175,1502.87,"0"
"30","12381",5,2011-12-05,283.462,1417.31,"0"
"31","12383",5,2011-06-08,275.844,1379.22,"1"
"32","12384",2,2011-11-11,212.635,425.27,"0"
"33","12386",1,2010-12-08,144.3,144.3,"1"
"34","12388",6,2011-11-24,190.616666666667,1143.7,"0"
"35","12390",1,2011-09-21,504.84,504.84,"1"
"36","12391",1,2011-11-18,460.89,460.89,"0"
"37","12393",4,2011-09-28,222.825,891.3,"1"
"38","12394",1,2011-05-06,347.88,347.88,"1"
"39","12395",12,2011-11-20,178.944166666667,2147.33,"0"
"40","12397",2,2011-11-04,912.625,1825.25,"0"
"41","12398",1,2011-10-25,1037.56,1037.56,"0"
"42","12399",4,2011-08-12,228.3,913.2,"1"
"43","12401",1,2011-02-09,84.3,84.3,"1"
"44","12402",1,2011-01-20,190.2,190.2,"1"
"45","12403",1,2011-10-21,9.9,9.9,"0"
"46","12405",1,2011-07-14,690.61,690.61,"1"
"47","12406",2,2011-11-17,583.68,1167.36,"0"
"48","12407",5,2011-10-21,214.384,1071.92,"0"
"49","12408",5,2011-11-07,247.002,1235.01,"0"
"50","12409",3,2011-09-22,48.85,146.55,"1"
"51","12410",2,2011-02-04,181.065,362.13,"1"
"52","12412",3,2011-09-26,275.18,825.54,"1"
"53","12413",3,2011-10-04,207,621,"1"
"54","12414",3,2011-05-06,49.77,149.31,"1"
"55","12415",11,2011-11-03,67.4136363636364,741.55,"0"
"56","12417",9,2011-12-06,306.711111111111,2760.4,"0"
"57","12418",1,2011-08-19,395.93,395.93,"1"
"58","12420",1,2011-10-07,388.81,388.81,"1"
"59","12421",4,2011-11-24,147.21,588.84,"0"
"60","12422",3,2011-09-05,192.303333333333,576.91,"1"
"61","12423",8,2011-12-09,210.42375,1683.39,"0"
"62","12424",2,2011-06-30,116.96,233.92,"1"
"63","12425",1,2011-09-22,536.4,536.4,"1"
"64","12426",1,2011-05-29,475.33,475.33,"1"
"65","12427",3,2011-11-18,133.053333333333,399.16,"0"
"66","12428",8,2011-11-14,442.09,3536.72,"0"
"67","12429",4,2011-11-30,253.67,1014.68,"0"
"68","12430",1,2011-10-27,129,129,"0"
"69","12431",13,2011-10-10,240.262307692308,3123.41,"1"
"70","12432",4,2011-10-28,225.68,902.72,"0"
"71","12433",7,2011-12-09,640.971428571429,4486.8,"0"
"72","12434",2,2011-09-16,356.77,713.54,"1"
"73","12436",1,2011-09-01,137.8,137.8,"1"
"74","12437",17,2011-11-30,153.820588235294,2614.95,"0"
"75","12438",2,2011-11-25,662.825,1325.65,"0"
"76","12441",1,2010-12-08,173.55,173.55,"1"
"77","12442",1,2011-12-06,172.06,172.06,"0"
"78","12444",5,2011-11-18,462.202,2311.01,"0"
"79","12445",1,2011-11-17,77.4,77.4,"0"
"80","12446",1,2011-10-13,964.06,964.06,"1"
"81","12447",1,2011-04-10,431.49,431.49,"1"
"82","12448",1,2011-10-26,269.85,269.85,"0"
"83","12449",4,2011-11-17,692.5725,2770.29,"0"
"84","12450",2,2011-07-06,65.94,131.88,"1"
"85","12451",5,2011-11-29,811.758,4058.79,"0"
"86","12452",1,2011-11-23,304.67,304.67,"0"
"87","12453",1,2011-07-28,707.09,707.09,"1"
"88","12455",6,2011-09-27,176.643333333333,1059.86,"1"
"89","12456",3,2011-10-26,546.453333333333,1639.36,"0"
"90","12457",2,2011-09-14,362.065,724.13,"1"
"91","12458",2,2011-09-29,198.35,396.7,"1"
"92","12461",1,2011-07-08,436.08,436.08,"1"
"93","12462",2,2011-11-21,468.795,937.59,"0"
"94","12463",4,2011-10-17,291.345,1165.38,"1"
"95","12464",8,2011-11-29,35.8625,286.9,"0"
"96","12465",2,2011-11-22,350.695,701.39,"0"
"97","12468",2,2011-06-05,238.845,477.69,"1"
