"","InvoiceNo","TotalAmount","UniqueProducts","TransactionDate","CustomerID"
"1","536365",139.12,7,2010-12-01,17850
"2","536366",22.2,2,2010-12-01,17850
"3","536367",161.05,9,2010-12-01,13047
"4","536368",70.05,4,2010-12-01,13047
"5","536369",17.85,1,2010-12-01,13047
"6","536370",116.36,7,2010-12-01,12583
"7","536372",22.2,2,2010-12-01,17850
"8","536373",259.86,16,2010-12-01,17850
"9","536375",259.86,16,2010-12-01,17850
"10","536377",22.2,2,2010-12-01,17850
"11","536378",253.1,15,2010-12-01,14688
"12","536381",246.57,32,2010-12-01,15311
"13","536382",198.9,9,2010-12-01,16098
"14","536384",133.7,7,2010-12-01,18074
"15","536385",130.85,7,2010-12-01,17420
"16","536388",226.14,14,2010-12-01,16250
"17","536389",159.65,9,2010-12-01,12431
"18","536390",63.2,3,2010-12-01,17511
"19","536392",153.14,9,2010-12-01,13705
"20","536394",35.28,2,2010-12-01,13408
"21","536395",189,9,2010-12-01,13767
"22","536396",274.26,16,2010-12-01,17850
"23","536398",249.26,13,2010-12-01,13448
"24","536399",22.2,2,2010-12-01,17850
"25","536400",17.4,1,2010-12-01,13448
"26","536401",354.23,64,2010-12-01,15862
"27","536403",15,1,2010-12-01,12791
"28","536404",401.1,26,2010-12-01,16218
"29","536406",281.64,16,2010-12-01,17850
"30","536407",22.2,2,2010-12-01,17850
"31","536408",721.91,46,2010-12-01,14307
"32","536409",243.28,58,2010-12-01,17908
"33","536412",439.81,79,2010-12-01,17920
"34","536415",355.39,58,2010-12-01,12838
"35","536416",56.1,3,2010-12-01,13255
"36","536420",233.45,14,2010-12-01,16583
"37","536423",147.9,6,2010-12-01,18085
"38","536425",255.05,14,2010-12-01,13758
"39","536446",350.29,30,2010-12-01,15983
"40","536460",224.38,12,2010-12-01,14849
"41","536463",17.4,1,2010-12-01,14849
"42","536464",277.35,85,2010-12-01,17968
"43","536466",42.9,2,2010-12-01,14849
"44","536477",124.9,6,2010-12-01,16210
"45","536488",131.89,34,2010-12-01,17897
"46","536500",103,12,2010-12-01,17377
"47","536502",95.29,5,2010-12-01,16552
"48","536514",17.7,1,2010-12-01,17951
"49","536520",313.49,71,2010-12-01,14729
"50","536521",4.95,1,2010-12-01,12748
"51","536522",191.06,54,2010-12-01,15012
"52","536523",203.3,12,2010-12-01,12868
"53","536524",70.8,4,2010-12-01,17572
"54","536525",56.74,12,2010-12-01,14078
"55","536526",113.04,5,2010-12-01,14001
"56","536527",261.48,15,2010-12-01,12662
"57","536528",313.93,57,2010-12-01,15525
"58","536529",127.1,8,2010-12-01,14237
"59","536530",201.75,23,2010-12-01,17905
"60","536531",99.74,9,2010-12-01,15485
"61","536532",769.92,49,2010-12-01,12433
"62","536533",64.45,4,2010-12-01,16955
"63","536534",115.65,5,2010-12-01,15350
"64","536535",194.85,12,2010-12-01,15605
"65","536536",29.85,2,2010-12-01,18144
"66","536537",137.6,6,2010-12-01,15922
"67","536538",255,31,2010-12-01,14594
